"country","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"Afghanistan",0,5,166,1827,15180,31445,36628,38248,39354,41334,46215,52330,55023,55714,56454,59745,71838,118659,147154,153220,155174,156250,157289,158084,162926,173659,177747,178879,180347,182528,185749,193250,199188,203063,205907,207559,208545,209322,209451
"Albania",0,0,243,773,1137,2535,5276,9513,13649,20875,38182,58316,78127,107167,125157,131085,132315,132521,133081,146387,170131,185300,199945,210224,258543,271563,273677,275107,276101,280851,312097,329352,332221,332966,333343,333806,334167,334391,334457
"Algeria",0,1,716,4006,9394,13907,30394,44494,51530,57942,83199,99610,107339,113092,117192,122108,128913,139626,171392,196080,203359,206452,210531,218432,252117,264936,265671,265780,265884,266087,267454,270304,270673,270838,271090,271228,271378,271441,271496
"Andorra",0,0,376,745,764,855,925,1176,2050,4756,6745,8049,9937,10866,12010,13232,13727,13911,14678,15033,15222,15516,17115,23740,35958,37999,40024,41349,42894,43774,45508,46027,46227,46535,47219,47751,47839,47866,47890
"Angola",0,0,7,27,86,284,1148,2654,4972,10805,15139,17553,19796,20807,22311,26652,34551,38849,42777,47544,56583,64433,65168,81593,98116,98741,99169,99287,99761,101320,102301,102636,103131,103131,104676,105095,105184,105255,105288
"Antigua and Barbuda",0,0,7,24,26,69,91,94,101,128,141,159,234,730,1136,1232,1260,1263,1303,1715,3231,4058,4141,4283,6627,7437,7491,7626,8253,8641,8773,8974,9098,9106,9106,9106,9106,9106,9106
"Argentina",0,0,1054,4428,16851,64530,191302,417735,751001,1166924,1424533,1625514,1927239,2107365,2348821,2977363,3781784,4470374,4929764,5185620,5256902,5288807,5330748,5654408,8378656,8900656,9037911,9072230,9230573,9367172,9560307,9678225,9708420,9718875,9727247,9891139,10037135,10044125,10044957
"Armenia",0,0,532,2066,9282,25542,38550,43781,50359,89813,135124,159409,167026,172058,192639,216064,222670,225095,230110,242135,261697,308326,338518,344930,367795,419832,422519,422867,422963,423243,425365,434398,442875,445242,445737,445976,446008,446819,447308
"Australia",9,25,4559,6766,7202,7920,17280,25819,27096,27595,27912,28425,28818,28978,29322,29811,30118,30643,34383,55093,107181,172030,211655,425496,2607242,3235017,4573066,5953142,7312408,8164673,9435839,10042081,10239653,10379442,10659898,11131707,11295446,11366361,11399460
"Austria",0,3,9264,15402,16610,17629,20873,27131,44231,101467,278500,356063,409286,452646,537302,611569,639722,645936,654243,682620,737702,822260,1147912,1270811,1835602,2671323,3842048,4174744,4288153,4459767,4774043,4956010,5131527,5439567,5561633,5705093,5780229,5911294,5961143
