"country","year","gdp_growth","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share"
"DZA",1980,-5.4,45.957,2462.085,77.897,4173.188,0.588
"DZA",1981,3,48.156,2502.13,87.825,4563.271,0.594
"DZA",1982,6.4,48.599,2446.588,99.22,4994.956,0.629
"DZA",1983,5.4,51.582,2514.256,108.673,5296.978,0.646
"DZA",1984,5.6,55.906,2640.191,118.9,5615.132,0.653
"DZA",1985,5.6,66.346,2988.545,129.529,5834.65,0.666
"DZA",1986,-0.2,66.783,2929.092,131.873,5783.897,0.643
"DZA",1987,-0.7,68.698,2935.816,134.195,5734.819,0.615
"DZA",1988,-1.9,56.07,2326.571,136.288,5655.088,0.578
"DZA",1989,4.8,57.041,2309.34,148.43,6009.325,0.585
"DZA",1990,0.8,67.171,2684.465,155.217,6203.223,0.568
"DZA",1991,-1.2,50.65,1975.201,158.542,6182.644,0.548
"DZA",1992,1.6,53.414,2033.196,164.749,6271.14,0.5
"DZA",1993,-2.1,55.309,2056.556,165.108,6139.207,0.481
"DZA",1994,-0.9,46.044,1674.567,167.116,6077.828,0.463
"DZA",1995,3.8,45.654,1626.997,177.184,6314.48,0.464
"DZA",1996,3.8,50.945,1783.41,187.285,6556.209,0.464
"DZA",1997,1.1,52.287,1800.196,192.61,6631.428,0.451
"DZA",1998,5.1,52.297,1772.368,204.708,6937.617,0.462
"DZA",1999,3.2,53.011,1769.091,214.248,7149.951,0.461
"DZA",2000,3.8,59.418,1947.755,227.427,7455.167,0.455
"DZA",2001,3,59.413,1919.41,239.525,7738.081,0.457
"DZA",2002,5.4,61.516,1958.238,256.368,8160.932,0.469
"DZA",2003,6.5,73.482,2304.603,278.431,8732.343,0.482
"DZA",2004,4.5,91.914,2839.82,298.871,9234.105,0.48
"DZA",2005,5.4,107.047,3258.153,324.768,9884.874,0.483
"DZA",2006,2.9,123.084,3690.572,344.389,10326.201,0.473
"DZA",2007,3.1,142.483,4208.244,364.81,10774.713,0.463
"DZA",2008,2.5,180.384,5214.762,380.957,11013.174,0.462
"DZA",2009,1.2,150.317,4262.144,387.737,10994.019,0.47
"DZA",2010,4.8,177.785,4941.493,411.347,11433.29,0.469
"DZA",2011,3,218.332,5946.345,432.398,11776.513,0.466
"DZA",2012,2.4,227.144,6057.974,451.163,12032.628,0.462
"DZA",2013,2.6,229.701,5997.896,470.758,12292.29,0.459
"DZA",2014,4.1,238.943,6108.878,498.529,12745.527,0.462
"DZA",2015,3.2,187.494,4691.686,519.064,12988.608,0.461
"DZA",2016,3.9,180.764,4426.58,544.346,13330.04,0.465
"DZA",2017,1.5,190.004,4554.15,562.537,13483.308,0.455
"DZA",2018,1.4,194.507,4568.244,583.472,13703.603,0.443
"DZA",2019,0.9,193.361,4452.856,601.471,13851.117,0.431
"DZA",2020,-5,164.774,3757.585,558.3,12731.754,0.401
"DZA",2021,3.8,185.884,4169.984,649.015,14559.497,0.418
"DZA",2022,3.6,225.631,4981.822,720.43,15906.751,0.418
"DZA",2023,4.1,240.064,5221.813,776.956,16900.136,0.422
"DZA",2024,3.8,260.134,5579.128,826.136,17718.286,0.425
"DZA",2025,3,264.27,5592.852,866.721,18342.736,0.424
"DZA",2026,2.5,270.141,5645.511,904.9,18910.932,0.421
"DZA",2027,2.1,275.081,5680.587,941.152,19435.323,0.417
"DZA",2028,2.1,279.617,5705.771,978.759,19972.262,0.413
"DZA",2029,2.1,284.352,5733.606,1017.851,20523.67,0.409
"AGO",1980,2.4,8.73,1055.339,12.494,1510.407,0.094
"AGO",1981,-4.4,8.17,961.721,13.074,1538.971,0.088
"AGO",1982,0,8.17,936.935,13.882,1591.954,0.088
"AGO",1983,4.2,8.514,951.5,15.031,1679.796,0.089
"AGO",1984,6,9.025,982.624,16.508,1797.332,0.091
"AGO",1985,3.5,11.119,1074.327,17.626,1703.032,0.091
"AGO",1986,2.9,10.411,977.905,18.503,1738.043,0.09
"AGO",1987,4.1,11.9,1089.96,19.735,1807.637,0.09
"AGO",1988,6.1,12.909,1151.19,21.684,1933.704,0.092
"AGO",1989,0,15.017,1303.41,22.543,1956.704,0.089
"AGO",1990,-3.5,16.529,1397.414,22.58,1908.939,0.083
"AGO",1991,12.1,16.022,1310.218,26.165,2139.614,0.091
"AGO",1992,11.4,12.354,977.93,29.812,2359.976,0.091
"AGO",1993,11,8.966,687.658,33.867,2597.482,0.099
"AGO",1994,10.5,6.529,484.971,38.226,2839.506,0.106
"AGO",1995,10.4,8.148,585.668,43.071,3095.937,0.113
"AGO",1996,11.2,10.51,730.731,48.776,3391.127,0.121
"AGO",1997,7.3,12.344,830.042,53.226,3579.153,0.125
"AGO",1998,4.7,10.464,680.922,56.349,3666.939,0.127
"AGO",1999,2.2,9.895,623.486,58.393,3679.306,0.126
"AGO",2000,3.1,12.646,771.405,61.54,3753.81,0.123
"AGO",2001,4.2,12.378,730.652,65.573,3870.505,0.125
"AGO",2002,13.7,17.312,988.318,75.692,4321.256,0.139
"AGO",2003,3.5,20.342,1122.365,79.88,4407.323,0.138
"AGO",2004,11.4,26.998,1438.272,91.395,4868.928,0.147
"AGO",2005,14.2,41.397,2128.257,107.599,5531.821,0.16
"AGO",2006,11.8,58.654,2909.07,124.05,6152.564,0.17
"AGO",2007,13,73.038,3493.014,143.974,6885.535,0.183
"AGO",2008,10.8,98.79,4554.334,162.582,7495.186,0.197
"AGO",2009,2,81.705,3630.103,166.856,7413.311,0.202
"AGO",2010,5.3,95.547,4089.461,177.818,7610.721,0.203
"AGO",2011,3.6,125.552,5175.442,188.003,7749.77,0.202
"AGO",2012,8.5,143.573,5699.986,207.781,8249.101,0.213
"AGO",2013,4.9,153.761,5880.641,221.629,8476.286,0.216
"AGO",2014,4.7,164.448,6061.865,235.997,8699.296,0.219
"AGO",2015,0.8,131.661,4680.829,239.998,8532.432,0.213
"AGO",2016,-1.7,114.764,3936.361,238.16,8168.812,0.203
"AGO",2017,-0.1,139.835,4628.964,242.085,8013.784,0.196
"AGO",2018,-0.6,114.189,3651.304,259.089,8284.622,0.197
"AGO",2019,-0.2,94.671,2926.143,277.552,8578.72,0.199
"AGO",2020,-4,66.521,1989.939,261.836,7832.731,0.188
"AGO",2021,2.1,84.375,2445.388,306.036,8869.641,0.197
"AGO",2022,4.2,141.941,3974.666,341.69,9568.094,0.198
"AGO",2023,1,109.678,2967.384,357.562,9673.949,0.194
"AGO",2024,2.4,113.286,2961.34,374.937,9801.001,0.193
"AGO",2025,2.8,118.409,2990.597,392.395,9910.508,0.192
"AGO",2026,3.3,124.169,3030.019,412.748,10072.03,0.192
"AGO",2027,3.3,133.22,3140.94,434.308,10239.754,0.192
"AGO",2028,3.4,141.459,3222.419,457.135,10413.459,0.193
"AGO",2029,3.4,150.679,3316.369,481.331,10593.855,0.194
"BEN",1980,9.3,2.302,614.04,3.75,1000.044,0.028
"BEN",1981,1.9,1.557,401.43,4.184,1078.374,0.028
